,Factor,ML_XGB,MPT,RiskParity
2022-11-30,1.587115351107532,3.056683323382398,1.1406718271414156,1.296321307533363
2022-12-31,1.5853319254699318,3.068472993491697,1.1330999084857496,1.2844516440104699
2023-01-31,1.6406270178632028,3.095001307288261,1.1414951481230011,1.3748153038696647
2023-02-28,1.5958878475407532,2.983535630452138,1.1089091004883267,1.3452170613318193
2023-03-31,1.6221473602502499,2.9858202913167924,1.1478742503133594,1.3923728317754183
2023-04-30,1.6536150960853995,3.0487646096470993,1.166488078902246,1.4221964702779115
2023-05-31,1.6205575072474725,2.9853269609629582,1.1509742271377457,1.3864996953011341
2023-06-30,1.6810463858741624,3.117324792567678,1.168755685115834,1.4328668300746161
2023-07-31,1.738734919584475,3.176041781600642,1.18849073181404,1.4843785048406153
2023-08-31,1.696246840957999,3.0600010229157717,1.1871974575304833,1.4529553934429618
2023-09-30,1.6358079674306412,2.916617531465798,1.1541816480231073,1.4061057521067295
2023-10-31,1.6417786125369456,3.0652703095028015,1.1305423452504617,1.3953509758816574
2023-11-30,1.7539340904521354,3.3694006187920023,1.1605797232160424,1.4846577310181677
2023-12-31,1.8253969520556406,3.6212696976155554,1.1999475463975136,1.542446348447556
2024-01-31,1.817158330674226,3.6313563249498007,1.2080208137673059,1.536560817223249
2024-02-29,1.9377115779525769,4.330454061123634,1.284177307778725,1.595714406340086
2024-03-31,2.0195806688560607,4.547795342765089,1.3542288231746356,1.6575333374037338
2024-04-30,1.9218710308919715,4.147030125217291,1.278724908345892,1.6009914312273368
2024-05-31,1.973544039507926,4.3887263911848935,1.310123175629206,1.6350892403812227
2024-06-30,1.9663583496032644,4.1858419540798915,1.2934166486468825,1.6435831283507394
2024-07-31,1.9984552178909418,4.219509187205818,1.2772034628682185,1.678025056079802
2024-08-31,1.9967116322627747,3.9651522366801033,1.2924981716782502,1.6926204092820603
2024-09-30,2.050264864101072,4.107948201984558,1.317648072854769,1.7251430514774124
2024-10-31,2.0300766759518094,4.145202598294994,1.3061973796201243,1.704470354860985
2024-11-30,2.140486745211226,4.492781026361788,1.3343911828145845,1.7688452518909157
2024-12-31,2.0586295282032006,4.295855029842696,1.2857258437843835,1.7108453070194511
2025-01-31,2.125417447544076,4.488350105090156,1.349407261966034,1.7592029658802333
2025-02-28,2.037617885017669,4.181387749071187,1.3053328842270127,1.721779507767511
2025-03-31,2.0228989266739625,4.235024245795427,1.3150647364324308,1.6989998750188346
2025-04-30,2.035089778003776,4.319876416664109,1.3485424229469254,1.6812569510434234
2025-05-31,2.095707850522576,4.5025392162504785,1.3547207068321978,1.739550835771263
2025-06-30,2.1569887646518198,4.607510076236743,1.3689741632235517,1.793838735265641
2025-07-31,2.1921127567936174,4.73219444825917,1.3648946691338202,1.8464837344359983
2025-08-31,2.2325119620411584,4.927172136505536,1.390425571266301,1.863374883046711
